iter	Passed	Remaining
966	4087	139
967	4087	135
968	4088	130
969	4089	126
970	4090	122
971	4093	117
972	4094	113
973	4096	109
974	4097	105
975	4098	100
976	4099	96
977	4100	92
978	4100	87
979	4101	83
980	4102	79
981	4103	75
982	4104	70
983	4105	66
984	4109	62
985	4110	58
986	4111	54
987	4112	49
988	4113	45
989	4114	41
990	4115	37
991	4116	33
992	4117	29
993	4118	24
994	4119	20
995	4120	16
996	4121	12
997	4124	8
998	4125	4
999	4126	0
